CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19.914151239263294,16.350298195195734,37.56310868934833
2,Male,17.880047681278512,20.629927445254868,82.57420877325566
3,Female,22.251353587419374,16.362339627606982,12.56422780333935
4,Female,25.82169414917364,18.57575517310743,73.85007062220342
5,Female,25.14689443403849,8.79931159587591,44.169338045856904
6,Female,18.093461479413044,16.80512639227953,73.87328966467697
7,Female,35.38352120950186,14.627078918828516,5.059662661374957
8,Female,22.051272222969253,13.124747758305489,100.0
9,Male,63.94959652748713,15.487390532284998,1.0
10,Female,27.44086821727926,17.663506237196753,61.628221375401914
11,Male,69.63819392458849,22.663610169424054,2.142516820457434
12,Female,37.333375806286845,13.694429129041744,80.33107104121356
13,Female,58.198092092683645,20.12252597037767,9.573884478758586
14,Female,27.381723620904097,18.063322266665686,82.99547119782193
15,Male,38.40252802675614,18.689307622552157,10.720927468939403
16,Male,19.422122611350286,24.011031301218416,80.58232065553482
17,Female,36.106252352247495,23.152461748015703,43.713739973686344
18,Male,17.123352197513004,26.349592429770976,76.62148905814153
19,Male,54.63535090392182,22.3819772830004,28.446896522190883
20,Female,34.85022226704124,20.216229553317188,100.0
21,Male,34.445412909364215,23.104564732478003,35.737013267472875
22,Male,22.957211366788176,24.969987165084888,66.3008142093803
23,Female,49.66762401602209,25.706293433814842,1.0
24,Male,30.536411553793595,20.662447711066534,61.15570789947987
25,Female,52.71501653351068,28.361959126511497,6.894929170130781
26,Male,27.94359934853531,28.91291332055562,79.13586649540457
27,Female,46.59692755666005,38.06989615013568,38.428680155028815
28,Male,36.09633219309224,35.50737844512668,74.76615864932788
29,Female,41.23819783478797,25.58702659776472,19.94254787698368
30,Female,24.29246300902365,27.850466553803294,90.14261974607935
31,Male,66.42494280261138,24.146231992651987,1.0
32,Female,19.780754950846152,27.637171944146054,76.79757670770562
33,Male,51.463271812785386,34.26242001436136,2.951306794498187
34,Male,15.558681815256367,37.82341448355294,77.35275339321976
35,Female,50.847938267726484,30.083664649025565,21.426375932547874
36,Female,24.386916878162676,30.383414239728815,76.15999429753015
37,Female,41.65815762703537,25.41084388104538,12.728798093011562
38,Female,27.479530569112416,33.34933631782037,64.44198070968248
39,Female,33.52655635292628,32.750342352561745,20.765733786499556
40,Female,21.951778363474105,34.88224229053571,78.42312352555933
41,Female,67.22976251361032,34.49255688732965,33.486045272508754
42,Male,25.629462804915583,37.62294978298977,94.62929601825985
43,Male,46.00347087813392,31.969086434573477,38.89537483143075
44,Female,31.69648396920016,33.13181901843604,71.56529324422533
45,Female,49.350057427422186,47.516988448113196,25.257710793084964
46,Female,24.65606579018704,33.850309674903876,53.18513746523415
47,Female,52.61428633384457,35.61285768618144,63.537779332575866
48,Female,27.670786646324046,47.34765411328526,44.34809462322196
49,Female,31.036740689215684,51.62026867696163,50.916739556619014
50,Female,31.202737208466676,35.31373348469863,45.06701690545977
51,Female,49.86735819606995,40.527004172847874,50.95089975837324
52,Male,34.89386467751562,43.366222203762035,62.790207152370364
53,Female,26.628532540433,49.91479057762237,69.6081004810104
54,Male,58.040986350928094,39.05257168628705,76.61584423243002
55,Female,48.588882037121614,42.018888616231564,45.55504908106223
56,Male,45.083366455269974,46.10935030424697,42.281524746536604
57,Female,50.17457324631995,45.73906429786648,58.60992125973108
58,Male,73.48482393370318,42.495375715079604,39.234711737861225
59,Female,24.40250665292027,45.46470814193584,53.664562980946044
60,Male,55.90483506377444,40.500416766520075,45.79309721636915
61,Male,64.95139068515259,45.04730502410134,58.51126569166043
62,Male,17.995344910042675,44.934450039964176,48.33304955240475
63,Female,67.48825919531501,47.928679558505024,39.283460053528245
64,Female,55.758666994077835,44.778691124723935,42.416132512069666
65,Male,65.13367973937856,49.886154090180554,42.060927096083134
66,Male,20.380041705599776,52.05086327127931,55.330597720485336
67,Female,41.95382478325469,48.621717310673866,47.654467306809906
68,Female,66.6129446220063,49.40702563359682,63.49784929943613
69,Male,21.573927643771462,48.21262139031147,67.84794695925838
70,Female,31.426087025355155,48.00033757236566,39.303271069266984
71,Male,66.17294102998623,46.11376786582861,57.78166761960765
72,Female,43.60013835798956,50.26597704669323,38.7433741091974
73,Female,57.24164314199517,49.61085360634604,46.72508929567924
74,Female,61.49148223216129,58.37267323572238,57.48260519532305
75,Male,59.4272772082117,60.29341960990097,51.95336893580315
76,Male,28.071456062203303,55.543386210226004,51.285932128927875
77,Female,43.7182420609904,50.94777116122093,61.51081226187487
78,Male,40.47561907323014,49.55035411206633,38.86449419086077
79,Female,24.87677118190201,58.76457181235546,52.05071249889815
80,Female,48.071960380839286,55.05099690058855,62.78138981276666
81,Male,58.37032571267223,55.92057361356645,52.7846379410022
82,Male,36.01422217680005,47.02165605210323,66.46571605284939
83,Male,65.91083846030479,57.70975392623272,41.73216142538566
84,Female,44.85478631800501,55.81768135285745,48.646216762638375
85,Female,17.41248106323288,49.55827726234209,56.54573444485847
86,Male,49.460917442356745,52.1139007702002,44.63673935068636
87,Female,53.591792979391826,58.054868817426076,51.764140826196645
88,Female,22.037482356183062,57.20986719342498,58.44241087166043
89,Female,35.44223997671773,56.83131525678578,53.18770248651386
90,Female,51.339593528089836,57.586046927736156,51.324681890507435
91,Female,69.99615532691836,57.99209048717246,63.682296035567276
92,Male,17.70454354647173,59.610250048409874,43.93225125789784
93,Male,46.73010506386754,65.88596789197263,46.71001013155446
94,Female,39.7608453672808,49.73336623627481,43.63172463446957
95,Female,26.93799669812591,59.052598941961264,39.5306155556287
96,Male,19.658662582730738,60.70604968548979,59.48437700372119
97,Female,43.03190116293679,61.1839759587484,32.348751326279015
98,Female,24.008259517195555,58.51234167471484,47.31514105505083
99,Male,49.19932268017031,53.97311287008567,26.073504039008018
100,Male,17.283562833919817,62.31198193485644,37.03951335818236
101,Female,21.86551233788183,68.90940085665675,51.910897838511275
102,Female,52.897684893358196,55.86455438033545,55.161479855773486
103,Male,65.93120808681572,65.45531205479276,53.244158133721676
104,Male,28.21254670540126,60.685899107508426,42.97997235167283
105,Male,46.19914695997037,61.75470261668461,32.28376929726679
106,Female,20.38368732639711,57.7884059571842,37.65203593653892
107,Female,63.14993383526826,61.662175310576494,69.36332009797923
108,Male,52.982900772298315,68.20017837879584,49.47907417170918
109,Male,70.52092441237218,65.33062096795082,38.52342171160409
110,Male,60.818038730422955,69.92924642163977,51.72064167600245
111,Male,66.30327093063757,67.70964755591078,39.51233317604446
112,Female,19.713206806996833,64.75634671571831,51.62141309841892
113,Female,36.217550132909615,70.97573810467117,42.79581978412591
114,Male,15.0,65.7559726349532,45.31119478543161
115,Female,18.21638852314161,68.31195270718824,54.32644897352064
116,Female,17.411521872808592,63.81371618586117,52.757161809888416
117,Female,63.69802863406411,65.26618326343682,48.34660814486398
118,Female,49.065556436570326,62.210304706798894,53.49302174215393
119,Female,55.80533667396275,70.95833573837942,50.18252326728438
